nr,i1_legid,i1_rcs_p,i1_rcs_e,i1_dep_1_p,i1_dep_1_e,i1_dep_1_place,i1_rcf_1_p,i1_rcf_1_e,i1_rcf_1_place,i1_dep_2_p,i1_dep_2_e,i1_dep_2_place,i1_rcf_2_p,i1_rcf_2_e,i1_rcf_2_place,i1_dep_3_p,i1_dep_3_e,i1_dep_3_place,i1_rcf_3_p,i1_rcf_3_e,i1_rcf_3_place,i1_dlv_p,i1_dlv_e,i1_hops,i2_legid,i2_rcs_p,i2_rcs_e,i2_dep_1_p,i2_dep_1_e,i2_dep_1_place,i2_rcf_1_p,i2_rcf_1_e,i2_rcf_1_place,i2_dep_2_p,i2_dep_2_e,i2_dep_2_place,i2_rcf_2_p,i2_rcf_2_e,i2_rcf_2_place,i2_dep_3_p,i2_dep_3_e,i2_dep_3_place,i2_rcf_3_p,i2_rcf_3_e,i2_rcf_3_place,i2_dlv_p,i2_dlv_e,i2_hops,i3_legid,i3_rcs_p,i3_rcs_e,i3_dep_1_p,i3_dep_1_e,i3_dep_1_place,i3_rcf_1_p,i3_rcf_1_e,i3_rcf_1_place,i3_dep_2_p,i3_dep_2_e,i3_dep_2_place,i3_rcf_2_p,i3_rcf_2_e,i3_rcf_2_place,i3_dep_3_p,i3_dep_3_e,i3_dep_3_place,i3_rcf_3_p,i3_rcf_3_e,i3_rcf_3_place,i3_dlv_p,i3_dlv_e,i3_hops,o_legid,o_rcs_p,o_rcs_e,o_dep_1_p,o_dep_1_e,o_dep_1_place,o_rcf_1_p,o_rcf_1_e,o_rcf_1_place,o_dep_2_p,o_dep_2_e,o_dep_2_place,o_rcf_2_p,o_rcf_2_e,o_rcf_2_place,o_dep_3_p,o_dep_3_e,o_dep_3_place,o_rcf_3_p,o_rcf_3_e,o_rcf_3_place,o_dlv_p,o_dlv_e,o_hops,legs
1099,2071,1911,1696,90,241,597,1150,919,700,1960,2225,700,1310,927,128,?,?,?,?,?,?,3780,437,2,3983,4674,4492,90,208,597,1145,895,700,835,2653,700,1605,1456,128,?,?,?,?,?,?,3780,975,2,1256,1127,1030,180,218,610,240,175,128,?,?,?,?,?,?,?,?,?,?,?,?,4140,1733,1,11462,624,380,240,448,128,810,711,609,?,?,?,?,?,?,?,?,?,?,?,?,3960,18259,1,3
1100,4715,202,27,240,358,815,280,190,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,1205,1,11093,197,35,240,360,815,285,231,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,2447,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5362,5868,5447,180,547,485,885,888,149,405,416,149,565,519,174,?,?,?,?,?,?,6960,3299,2,2
1101,11389,976,579,240,590,366,400,137,128,1250,1516,128,960,623,476,?,?,?,?,?,?,3960,270,2,9881,1070,39,240,1211,815,940,806,476,?,?,?,?,?,?,?,?,?,?,?,?,6990,1048,1,11470,405,2,240,598,128,960,671,476,?,?,?,?,?,?,?,?,?,?,?,?,3960,331,1,7609,3005,3087,300,182,476,1005,984,671,?,?,?,?,?,?,?,?,?,?,?,?,1200,466,1,3
1102,10665,212,29,135,257,815,285,162,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,158,1,7399,90,60,300,278,308,780,615,485,?,?,?,?,?,?,?,?,?,?,?,?,1140,96,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13494,3267,737,90,2340,485,1250,884,700,1315,1912,700,890,654,108,?,?,?,?,?,?,3780,147,2,2
1103,25,388,267,165,231,555,855,596,815,?,?,?,?,?,?,?,?,?,?,?,?,3780,83,1,12276,1163,119,240,1230,403,1091,1048,815,?,?,?,?,?,?,?,?,?,?,?,?,5600,42,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10849,114,86,135,106,815,285,240,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,91,1,2
1104,302,218,115,150,188,431,795,482,815,?,?,?,?,?,?,?,?,?,?,?,?,2880,157,1,5037,1084,231,180,973,597,1050,812,815,?,?,?,?,?,?,?,?,?,?,?,?,6460,892,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2957,198,124,135,154,815,385,197,770,?,?,?,?,?,?,?,?,?,?,?,?,9245,656,1,2
1105,13535,5660,5740,300,244,476,1005,801,671,?,?,?,?,?,?,?,?,?,?,?,?,1200,974,1,4182,1097,121,240,1162,815,1020,870,671,?,?,?,?,?,?,?,?,?,?,?,?,4680,60,1,8685,14440,14445,300,248,476,1005,913,671,?,?,?,?,?,?,?,?,?,?,?,?,1260,563,1,3140,2293,2107,90,204,671,820,436,700,160,585,700,1425,952,476,?,?,?,?,?,?,3780,1010,2,3
1106,12741,1381,636,90,791,128,1230,957,700,375,635,700,815,507,206,?,?,?,?,?,?,3840,16440,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13926,1450,1061,90,411,206,805,484,700,815,1147,700,850,487,628,?,?,?,?,?,?,3780,711,2,1
1107,13637,14854,14845,300,309,555,735,543,371,?,?,?,?,?,?,?,?,?,?,?,?,1560,167,1,10658,119,50,135,149,815,845,714,371,?,?,?,?,?,?,?,?,?,?,?,?,5280,3204,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6896,294,37,240,462,371,995,1014,128,270,253,128,935,629,361,?,?,?,?,?,?,3420,446,2,2
1108,155,475,129,150,436,431,855,713,815,?,?,?,?,?,?,?,?,?,?,?,?,2880,1138,1,9505,1224,1204,150,112,614,455,157,815,?,?,?,?,?,?,?,?,?,?,?,?,3565,887,1,71,519,111,180,531,216,735,464,815,?,?,?,?,?,?,?,?,?,?,?,?,2880,142,1,10953,1187,8,240,1362,815,890,838,597,?,?,?,?,?,?,?,?,?,?,?,?,5160,5974,1,3
1109,11819,5825,3875,90,2002,252,735,467,700,75,319,700,1300,837,349,?,?,?,?,?,?,3780,2751,2,759,1403,966,120,516,671,900,960,349,?,?,?,?,?,?,?,?,?,?,?,?,385,1511,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1599,1686,807,780,1617,349,2579,4210,201,?,?,?,?,?,?,?,?,?,?,?,?,1096,4011,1,2
1110,14199,354,1,240,573,490,1045,938,128,2490,2577,128,2880,2881,787,?,?,?,?,?,?,3960,1587,2,8154,938,399,150,645,349,50,60,815,135,111,815,235,132,787,?,?,?,?,?,?,5280,101,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11151,243,103,150,233,787,155,185,128,830,808,128,125,119,361,?,?,?,?,?,?,4230,335,2,2
1111,1082,7488,7238,240,454,371,995,741,128,410,724,128,810,905,349,?,?,?,?,?,?,3960,4874,2,9462,250,380,180,3,468,965,1045,349,?,?,?,?,?,?,?,?,?,?,?,?,385,1078,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,676,7127,2963,90,4664,349,1340,1093,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,201,1,2
1112,8581,1697,1627,240,277,411,855,608,128,?,?,?,?,?,?,?,?,?,?,?,?,3960,4295,1,12158,1762,1524,240,119,809,2220,1233,798,535,1847,798,715,1117,128,?,?,?,?,?,?,3960,824,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11646,219,109,240,320,128,1035,756,700,?,?,?,?,?,?,?,?,?,?,?,?,3960,685,1,2
1113,8209,8474,7242,90,1260,698,600,218,700,1070,1456,700,1510,1082,695,?,?,?,?,?,?,3780,11284,2,13965,2381,2000,240,587,128,960,643,476,670,124,476,600,1263,695,?,?,?,?,?,?,3960,5982,2,4837,1131,403,150,823,238,435,204,128,1245,1504,128,705,667,695,?,?,?,?,?,?,4230,1385,2,3350,1449,416,180,1191,695,826,776,349,?,?,?,?,?,?,?,?,?,?,?,?,4080,239,1,3
1114,6830,1386,814,90,634,700,605,167,698,?,?,?,?,?,?,?,?,?,?,?,?,3780,1683,1,1545,1071,59,90,1042,815,1210,953,700,220,497,700,605,186,698,?,?,?,?,?,?,3780,12347,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8588,10470,8640,300,2079,698,895,1008,349,?,?,?,?,?,?,?,?,?,?,?,?,550,1860,1,2
1115,5877,4379,4117,90,281,456,905,547,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,321,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6816,1152,276,90,904,700,800,381,671,?,?,?,?,?,?,?,?,?,?,?,?,3780,752,1,1
1116,4427,1454,592,300,1102,694,665,644,349,?,?,?,?,?,?,?,?,?,?,?,?,550,4014,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5177,482,246,150,191,349,420,107,815,150,608,815,240,134,228,?,?,?,?,?,?,5040,19,2,1
1117,7598,1346,335,240,1161,493,4020,5511,128,1725,349,128,925,580,413,?,?,?,?,?,?,3960,152,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5673,1466,1532,300,193,413,970,800,128,350,468,128,390,216,678,?,?,?,?,?,?,3960,443,2,1
1118,1696,223,176,150,151,128,110,156,281,?,?,?,?,?,?,?,?,?,?,?,?,4230,596,1,9795,1010,991,240,198,485,355,291,281,?,?,?,?,?,?,?,?,?,?,?,?,4020,1105,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,12391,812,198,150,710,281,115,158,128,535,501,128,665,3524,567,?,?,?,?,?,?,4140,5460,2,2
1119,14471,841,244,420,965,485,280,171,815,1645,1758,815,225,204,649,?,?,?,?,?,?,4740,1480,2,905,485,172,300,494,476,985,1022,815,1105,1128,815,225,147,649,?,?,?,?,?,?,4740,5576,2,11235,484,355,150,218,485,100,28,815,385,474,815,225,169,649,?,?,?,?,?,?,4740,1418,2,393,314,174,240,315,649,295,241,815,515,574,815,295,265,485,?,?,?,?,?,?,5160,755,2,3
1120,10855,1112,162,240,1135,815,705,638,555,?,?,?,?,?,?,?,?,?,?,?,?,5820,2714,1,10429,1058,92,240,1154,815,685,703,555,?,?,?,?,?,?,?,?,?,?,?,?,5760,2529,1,7226,3175,3029,180,264,349,235,135,815,745,871,815,685,693,555,?,?,?,?,?,?,5760,9721,2,13435,315,162,300,425,555,870,645,341,?,?,?,?,?,?,?,?,?,?,?,?,1620,188,1,3
1121,6604,151,48,240,307,128,960,689,597,?,?,?,?,?,?,?,?,?,?,?,?,3960,195,1,4047,1051,32,240,1212,815,890,829,597,?,?,?,?,?,?,?,?,?,?,?,?,5160,3082,1,11184,310,378,270,158,349,1115,1148,597,?,?,?,?,?,?,?,?,?,?,?,?,335,618,1,2046,8957,7316,90,1824,597,1105,865,700,580,693,700,1275,997,128,?,?,?,?,?,?,3780,370,2,3
1122,10477,1474,308,240,1351,815,1020,931,671,?,?,?,?,?,?,?,?,?,?,?,?,4680,242,1,550,805,216,150,685,391,100,96,128,570,600,128,660,757,671,?,?,?,?,?,?,4230,1126,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2838,808,724,180,244,671,930,1004,349,?,?,?,?,?,?,?,?,?,?,?,?,550,1869,1,2
1123,4036,1545,1107,240,648,548,925,667,128,?,?,?,?,?,?,?,?,?,?,?,?,3960,1288,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11379,811,63,240,977,128,810,670,609,?,?,?,?,?,?,?,?,?,?,?,?,3960,216,1,1
1124,2773,147,138,180,132,166,220,155,128,840,921,128,735,370,411,?,?,?,?,?,?,4140,1915,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8124,1648,1512,150,232,411,585,570,128,725,744,128,1045,571,727,?,?,?,?,?,?,3300,264,2,1
1125,5134,385,367,420,406,349,1079,913,456,?,?,?,?,?,?,?,?,?,?,?,?,356,4975,1,13984,7065,6682,240,586,128,970,711,456,?,?,?,?,?,?,?,?,?,?,?,?,3960,10354,1,13995,15593,15593,240,194,128,970,726,456,?,?,?,?,?,?,?,?,?,?,?,?,3960,466,1,5881,1834,1700,90,160,456,905,528,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,348,1,3
1126,13387,1144,847,150,408,485,120,178,128,360,312,128,120,110,727,?,?,?,?,?,?,4230,1318,2,8814,452,393,180,206,128,205,122,727,?,?,?,?,?,?,?,?,?,?,?,?,4140,665,1,13366,1846,1489,240,544,441,970,929,128,210,1280,128,2820,3043,727,?,?,?,?,?,?,3960,1236,2,902,352,82,180,390,727,1995,1858,349,2350,2507,349,1074,855,468,?,?,?,?,?,?,351,930,2,3
1127,3842,1336,183,240,1344,815,890,841,597,?,?,?,?,?,?,?,?,?,?,?,?,5160,270,1,7901,343,98,210,395,663,255,153,815,810,924,815,890,892,597,?,?,?,?,?,?,5160,1778,2,10643,760,250,300,900,308,925,889,597,?,?,?,?,?,?,?,?,?,?,?,?,2760,3899,1,3988,8372,7377,90,1027,597,935,634,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,610,1,3
1128,2439,120,262,300,98,431,1020,940,798,270,445,798,750,592,349,?,?,?,?,?,?,3960,9166,2,2440,842,499,90,389,700,1275,850,349,?,?,?,?,?,?,?,?,?,?,?,?,3780,3340,1,12122,2192,2114,180,246,671,930,827,349,?,?,?,?,?,?,?,?,?,?,?,?,550,6572,1,3841,895,384,270,745,349,1042,926,671,?,?,?,?,?,?,?,?,?,?,?,?,333,18,1,3
1129,5893,1270,1222,240,228,800,875,746,128,310,564,128,1065,876,441,?,?,?,?,?,?,3960,5384,2,8476,4472,4088,120,424,236,390,215,815,1225,1423,815,820,665,441,?,?,?,?,?,?,5040,350,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5468,1618,1423,420,551,441,945,761,815,?,?,?,?,?,?,?,?,?,?,?,?,5600,2932,1,2
1130,12706,1414,931,90,511,128,1230,855,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,221,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2149,897,527,90,406,700,795,406,671,?,?,?,?,?,?,?,?,?,?,?,?,3780,1358,1,1
1131,8252,1550,1317,90,263,476,1760,1357,700,175,586,700,1125,649,441,?,?,?,?,?,?,3780,2314,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2093,2038,1238,1260,2000,441,400,422,579,?,?,?,?,?,?,?,?,?,?,?,?,425,8600,1,1
1132,8358,1300,1232,90,107,113,1105,741,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,476,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2366,1132,599,90,562,700,705,348,403,?,?,?,?,?,?,?,?,?,?,?,?,3780,9,1,1
1133,11855,1350,579,120,829,527,145,231,281,440,356,281,540,123,166,?,?,?,?,?,?,2850,900,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,9771,201,172,150,112,166,130,143,128,1155,1178,128,815,588,332,?,?,?,?,?,?,3840,3400,2,1
1134,5393,4561,3066,90,1589,476,1360,1049,128,5255,5526,128,1130,655,441,?,?,?,?,?,?,3780,19178,2,8387,6008,5409,120,624,236,390,211,815,1225,1449,815,810,691,441,?,?,?,?,?,?,5040,344,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,832,3209,338,240,3064,441,970,947,128,335,438,128,570,426,752,?,?,?,?,?,?,3960,7269,2,2
1135,10288,505,360,720,775,556,270,85,281,190,402,281,1350,598,609,?,?,?,?,?,?,3480,805,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8043,11470,11325,300,403,609,695,711,485,?,?,?,?,?,?,?,?,?,?,?,?,1140,1229,1,1
1136,5727,3827,40,180,3907,597,750,338,815,?,?,?,?,?,?,?,?,?,?,?,?,5400,1608,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10019,1357,165,240,1374,815,780,674,609,?,?,?,?,?,?,?,?,?,?,?,?,7680,2526,1,1
1137,13261,2048,1568,420,852,548,880,926,349,?,?,?,?,?,?,?,?,?,?,?,?,550,398,1,12064,258,165,220,262,597,990,1035,349,?,?,?,?,?,?,?,?,?,?,?,?,385,1461,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1467,1343,796,420,932,349,2049,2145,778,?,?,?,?,?,?,?,?,?,?,?,?,846,12,1,2
1138,9495,795,777,420,394,349,942,781,308,?,?,?,?,?,?,?,?,?,?,?,?,318,173,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3162,1551,450,90,1120,308,2095,1888,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,2013,1,1
1139,249,388,121,240,437,476,975,921,815,535,606,815,290,138,236,?,?,?,?,?,?,5100,20,2,163,1408,1084,300,556,609,820,774,815,825,870,815,290,102,236,?,?,?,?,?,?,5100,14,2,13783,1045,320,210,885,238,285,258,815,900,930,815,300,126,236,?,?,?,?,?,?,5100,4,2,13277,4351,4053,120,413,236,120,9,815,165,218,815,810,684,441,?,?,?,?,?,?,5040,249,2,3
1140,4932,418,32,180,514,216,735,484,815,?,?,?,?,?,?,?,?,?,?,?,?,2880,147,1,9395,156,112,150,132,614,455,184,815,?,?,?,?,?,?,?,?,?,?,?,?,3565,3720,1,938,1386,1127,240,439,476,985,833,815,?,?,?,?,?,?,?,?,?,?,?,?,5040,812,1,4216,909,26,135,961,815,685,766,555,?,?,?,?,?,?,?,?,?,?,?,?,5760,790,1,3
1141,11243,737,111,150,802,238,225,149,128,?,?,?,?,?,?,?,?,?,?,?,?,4170,1909,1,4563,6506,6302,240,411,548,920,711,128,?,?,?,?,?,?,?,?,?,?,?,?,3960,68,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4357,831,17,240,1019,128,1045,702,561,?,?,?,?,?,?,?,?,?,?,?,?,3960,3453,1,2
1142,5969,939,299,300,914,349,760,623,798,?,?,?,?,?,?,?,?,?,?,?,?,3960,1368,1,1532,1129,724,300,680,349,760,1755,798,?,?,?,?,?,?,?,?,?,?,?,?,3960,596,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10371,242,56,240,397,798,695,604,128,3250,3343,128,1620,821,770,?,?,?,?,?,?,3960,333,2,2
1143,8600,1420,1261,150,292,411,585,628,128,340,263,128,130,145,166,?,?,?,?,?,?,4230,4282,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2835,157,141,150,114,166,130,192,128,910,854,128,650,1686,694,?,?,?,?,?,?,4230,681,2,1
1144,5063,1076,258,150,908,597,1050,780,815,?,?,?,?,?,?,?,?,?,?,?,?,3490,3837,1,11986,710,153,180,676,256,375,143,815,?,?,?,?,?,?,?,?,?,?,?,?,5470,37,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11038,808,62,240,925,815,515,210,140,?,?,?,?,?,?,?,?,?,?,?,?,6150,1452,1,2
1145,2601,554,63,240,677,815,515,173,140,?,?,?,?,?,?,?,?,?,?,?,?,6150,6679,1,4212,114,13,240,277,815,515,202,140,?,?,?,?,?,?,?,?,?,?,?,?,6150,6614,1,3638,148,106,240,232,815,515,220,140,?,?,?,?,?,?,?,?,?,?,?,?,6150,787,1,657,4194,3234,90,982,140,1255,1045,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,98,1,3
1146,10007,190,177,240,216,815,290,152,281,?,?,?,?,?,?,?,?,?,?,?,?,5100,768,1,11661,1554,1462,150,215,809,470,464,128,475,467,128,110,257,281,?,?,?,?,?,?,4230,863,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,12392,255,161,150,183,281,540,105,166,?,?,?,?,?,?,?,?,?,?,?,?,2850,763,1,2
1147,7556,600,178,270,628,216,735,637,815,985,1089,815,200,125,663,?,?,?,?,?,?,3780,1479,2,3,2947,1042,270,2105,216,735,504,815,980,1221,815,200,134,663,?,?,?,?,?,?,3780,215,2,2766,1430,482,540,1456,609,975,757,349,1515,1666,349,708,832,663,?,?,?,?,?,?,402,218,2,7527,4204,4128,210,226,663,450,434,500,89,24,500,901,696,815,1105,1400,815,910,707,296,5160,20949,3,3
1148,10652,762,63,240,882,815,295,184,527,?,?,?,?,?,?,?,?,?,?,?,?,5220,1934,1,10752,677,94,240,770,815,300,144,527,?,?,?,?,?,?,?,?,?,?,?,?,5100,771,1,2050,2673,1603,90,1124,597,915,551,700,1280,1645,700,1425,1105,527,?,?,?,?,?,?,3780,1488,2,5350,2671,2031,180,789,527,895,765,149,320,443,149,565,425,174,?,?,?,?,?,?,6960,2671,2,3
1149,3980,129,19,135,185,815,285,177,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,163,1,1699,930,277,240,851,456,1015,755,128,650,908,128,385,176,485,?,?,?,?,?,?,3960,1887,2,447,1270,421,240,1096,789,1040,887,128,690,747,128,1141,1066,485,?,?,?,?,?,?,4020,449,2,8596,1207,872,180,463,485,885,737,149,?,?,?,?,?,?,?,?,?,?,?,?,6680,859,1,3
1150,4732,338,188,135,227,815,845,710,371,?,?,?,?,?,?,?,?,?,?,?,?,5220,1765,1,11250,3557,498,180,3181,206,835,838,815,685,683,815,845,717,371,?,?,?,?,?,?,5220,4838,2,7620,236,14,300,473,671,375,89,597,2820,1662,597,945,913,144,4485,3093,144,820,628,371,8355,325,3,5940,5869,5744,240,348,371,995,707,128,260,542,128,900,485,388,?,?,?,?,?,?,3960,482,2,3
1151,1626,1085,47,90,1068,815,1210,1006,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,123,1,6419,1187,1029,90,189,485,1240,919,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,35,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2120,1061,325,90,773,700,1080,695,113,?,?,?,?,?,?,?,?,?,?,?,?,3780,165,1,2
1152,7741,5892,2911,150,3084,732,275,238,128,?,?,?,?,?,?,?,?,?,?,?,?,4200,834,1,2130,21938,20137,90,2826,476,1120,714,128,?,?,?,?,?,?,?,?,?,?,?,?,3780,441,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1867,660,365,240,487,128,815,523,409,?,?,?,?,?,?,?,?,?,?,?,?,3960,235,1,2
1153,5237,4252,2377,90,1913,206,805,404,700,1040,1461,700,1060,725,113,?,?,?,?,?,?,3780,867,2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1993,1309,1192,90,147,113,1130,818,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,428,1,1
1154,14652,6876,6895,300,221,140,835,705,431,?,?,?,?,?,?,?,?,?,?,?,?,4080,173,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2367,395,217,90,221,431,1780,1509,700,345,613,700,965,687,742,?,?,?,?,?,?,3780,6058,2,1
1155,5000,172,137,240,212,476,975,693,815,?,?,?,?,?,?,?,?,?,?,?,?,5040,3825,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4785,175,82,240,275,815,285,163,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,1454,1,1
1156,637,626,109,240,700,750,435,271,128,105,288,128,855,568,555,?,?,?,?,?,?,4020,1400,2,10913,1383,189,240,1390,815,705,752,555,?,?,?,?,?,?,?,?,?,?,?,?,5760,18501,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13485,1535,1426,300,426,555,805,811,371,?,?,?,?,?,?,?,?,?,?,?,?,1560,1252,1,2
1157,13008,558,334,90,255,700,800,378,671,?,?,?,?,?,?,?,?,?,?,?,?,3780,1417,1,3002,91,48,135,140,815,995,828,671,?,?,?,?,?,?,?,?,?,?,?,?,4680,1535,1,12086,11983,11751,90,183,515,1171,584,256,235,916,256,1070,764,671,?,?,?,?,?,?,3840,788,2,13088,1023,858,90,234,671,815,591,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,2844,1,3
1158,2694,2351,1462,150,1005,456,790,757,128,?,?,?,?,?,?,?,?,?,?,?,?,4200,1538,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,12302,16237,15200,240,1273,128,780,451,809,?,?,?,?,?,?,?,?,?,?,?,?,3960,2404,1,1
1159,77,512,559,300,193,431,775,689,815,?,?,?,?,?,?,?,?,?,?,?,?,5320,47,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4676,215,88,135,200,815,285,233,485,?,?,?,?,?,?,?,?,?,?,?,?,5160,156,1,1
1160,7868,871,997,90,435,233,1385,1221,700,?,?,?,?,?,?,?,?,?,?,?,?,3780,1580,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10839,4673,4219,90,491,700,625,345,174,?,?,?,?,?,?,?,?,?,?,?,?,3780,1733,1,1
